ФИО,Факультет,Ученое звание,Ученая степень
Федорова Ф.Ф.,ГФ,старший преподаватель,без степени
Волков В.В.,ИЭиУ,ассистент,доктор наук
Петров П.П.,ЮФ,профессор,без степени
Иванов И.И.,ЮФ,ассистент,без степени
Федорова Ф.Ф.,ИЭиУ,доцент,кандидат наук
Иванов И.И.,ЮФ,старший преподаватель,доктор наук
Васильева В.В.,ЮФ,доцент,без степени
Смирнова А.А.,ИЭиУ,профессор,без степени
Иванов И.И.,ИЭиУ,старший преподаватель,кандидат наук
Кузнецов К.К.,ФИиВТ,доцент,кандидат наук
Волков В.В.,ЕМФ,ассистент,кандидат наук
Смирнова А.А.,ИЭиУ,ассистент,доктор наук
Петров П.П.,ЮФ,ассистент,доктор наук
Волков В.В.,ИЭиУ,профессор,кандидат наук
Волков В.В.,ИЭиУ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,профессор,доктор наук
Сидоров С.С.,ФИиВТ,доцент,доктор наук
Смирнова А.А.,ГФ,доцент,без степени
Васильева В.В.,ИЭиУ,доцент,доктор наук
Михайлов М.М.,ФИиВТ,ассистент,доктор наук
Смирнова А.А.,ЮФ,профессор,без степени
Михайлов М.М.,ЮФ,профессор,без степени
Волков В.В.,ФИиВТ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ФИиВТ,доцент,доктор наук
Михайлов М.М.,ИЭиУ,доцент,кандидат наук
Васильева В.В.,ЕМФ,ассистент,без степени
Васильева В.В.,ЕМФ,доцент,кандидат наук
Федорова Ф.Ф.,ФИиВТ,доцент,кандидат наук
Морозов М.М.,ГФ,профессор,кандидат наук
Сидоров С.С.,ЮФ,профессор,доктор наук
Волков В.В.,ЮФ,доцент,без степени
Морозов М.М.,ИЭиУ,ассистент,без степени
Смирнова А.А.,ЕМФ,доцент,кандидат наук
Кузнецов К.К.,ФИиВТ,профессор,кандидат наук
Морозов М.М.,ФИиВТ,ассистент,без степени
Васильева В.В.,ЕМФ,профессор,доктор наук
Михайлов М.М.,ЕМФ,доцент,без степени
Волков В.В.,ЮФ,ассистент,кандидат наук
Волков В.В.,ГФ,старший преподаватель,без степени
Кузнецов К.К.,ФИиВТ,ассистент,без степени
Михайлов М.М.,ЕМФ,старший преподаватель,без степени
Иванов И.И.,ИЭиУ,профессор,кандидат наук
Кузнецов К.К.,ФИиВТ,профессор,без степени
Кузнецов К.К.,ФИиВТ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,старший преподаватель,без степени
Васильева В.В.,ФИиВТ,профессор,доктор наук
Морозов М.М.,ЮФ,доцент,без степени
Петров П.П.,ИЭиУ,доцент,кандидат наук
Федорова Ф.Ф.,ИЭиУ,старший преподаватель,доктор наук
Сидоров С.С.,ЕМФ,старший преподаватель,кандидат наук
Михайлов М.М.,ЮФ,ассистент,без степени
Иванов И.И.,ЮФ,ассистент,без степени
Федорова Ф.Ф.,ИЭиУ,профессор,без степени
Федорова Ф.Ф.,ГФ,доцент,кандидат наук
Сидоров С.С.,ЮФ,профессор,доктор наук
Смирнова А.А.,ФИиВТ,профессор,доктор наук
Сидоров С.С.,ИЭиУ,ассистент,кандидат наук
Петров П.П.,ЕМФ,доцент,кандидат наук
Кузнецов К.К.,ЮФ,доцент,без степени
Смирнова А.А.,ЕМФ,доцент,доктор наук
Смирнова А.А.,ГФ,доцент,без степени
Петров П.П.,ЮФ,ассистент,доктор наук
Михайлов М.М.,ЮФ,доцент,кандидат наук
Кузнецов К.К.,ГФ,профессор,без степени
Сидоров С.С.,ФИиВТ,ассистент,без степени
Васильева В.В.,ЕМФ,профессор,без степени
Михайлов М.М.,ЮФ,доцент,без степени
Сидоров С.С.,ЕМФ,доцент,без степени
Смирнова А.А.,ФИиВТ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ИЭиУ,доцент,доктор наук
Федорова Ф.Ф.,ФИиВТ,старший преподаватель,доктор наук
Михайлов М.М.,ЮФ,ассистент,без степени
Волков В.В.,ИЭиУ,старший преподаватель,кандидат наук
Смирнова А.А.,ГФ,доцент,кандидат наук
Смирнова А.А.,ФИиВТ,ассистент,доктор наук
Петров П.П.,ЮФ,профессор,доктор наук
Сидоров С.С.,ИЭиУ,доцент,кандидат наук
Федорова Ф.Ф.,ГФ,доцент,без степени
Сидоров С.С.,ФИиВТ,доцент,доктор наук
Михайлов М.М.,ФИиВТ,профессор,без степени
Васильева В.В.,ЕМФ,старший преподаватель,доктор наук
